NC/MT ratio, SS/PS ratio
0.07359455274638965,0.838496173266866,
0.1117166425953159,0.9534351175412628,
0.21200980406388478,0.4372218874218545,
0.09577980927090084,1.0505354475524136,
0.09213904451961213,0.4056423726559383,
0.12095688512264716,0.7640131477236827,
0.11200756786320502,0.7107374186922287,
0.21932193843864087,0.8767014182801345,
0.1635007360452672,1.649843807050996,
0.2317219171672527,1.1745018275245072,
0.8500096088848502,0.4961566106524994,
0.9897267932403976,1.1600314577966435,
0.7966076818776331,1.22268657226994,
0.6744610784033351,0.6733731274531444,
0.8604696032888168,0.7978792083986967,
0.875850137064022,0.7193181486561415,
0.7866037704934382,0.716347323101193,
0.6829784225889131,0.19235431073426695,
0.8423978346356161,1.1663453432061328,
0.9091684662078677,0.7638300129616731,
0.24499369761456083,0.7554080286746571,
0.27390620850660635,1.5551958140515587,
0.26223875326009244,1.2738930618699347,
0.2524679132651213,0.785175519940982,
0.2492418748867595,0.7433892457799879,
0.3063115291701382,0.30772148742353583,
0.12975515552684344,0.7681269200016833,
0.3442158010513116,0.9511099633388022,
0.18534108801485566,0.6924867231459821,
0.15434568920372446,0.6584381241736292,
0.3525398217371028,0.5901739191116738,
0.284127172716483,0.7442995905357199,
0.26727408912106154,1.4158197473829592,
0.3028083281254979,0.8464849354375896,
0.2660349367519926,0.63455753179875,
0.2853617537038744,0.4964064284048078,
0.26771932797871634,0.6623389907707985,
0.2648936315202517,0.41158429561200927,
0.20768619906544578,0.7942016532983349,
0.22669121318276741,1.1448770079310762,
0.8563671795316172,0.6448502158844588,
0.9477347357081225,0.8656636098657591,
0.8655516177739826,1.3088893205343493,
0.9802015966543599,1.1689192483468094,
0.8649094222387144,0.08940806141560843,
0.18141710290814428,0.726793195699359,
0.9157264105392777,0.809034187014409,
0.8180363270071401,0.8492540890300162,
0.7870685883308444,1.2421926111860289,
0.8798117037505252,1.2207354992112303,
