NC/RMT ratio, NC/TP ratio, SS/PS ratio
1.0768313008126182,1.0384658126009383,43.145947076654075,
492.8475675093472,0.8801977020319287,35.915258201576414,
3992.6046037260016,0.7936380498859871,1.5985421537615183,
2914.6939125140902,0.5063065072479105,1.942787952171939,
5350.9554837434425,0.49669590281952836,1.7066672461752435,
9810.995458567388,0.48069145501971244,1.7791829328641338,
3306.8233508073163,0.4736784815584554,1.4157303370786516,
1203.116789162876,0.7440642986132672,0.658494522507692,
5990.955436111939,0.8951484576970059,1.8596517789553368,
416.38598022157214,0.7656589278303861,1.7462816671206756,
9115.748141814936,0.6034477703501782,1.271913985554826,
1.0128732688862845,0.9947173698386149,0.0051526288606473765,
1.098250434889678,1.049327494172336,0.004730553442014654,
1.101011455357547,1.0409314613684635,5.100494845885309E-4,
1.0835177978742472,1.039130928723331,0.0033408327493614433,
1.1807045982819286,1.1405688219410604,5.747204586369491E-5,
