START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
1000000,2000000,0.5853882521843168,1.9762186042546486,0.5167864463507439,1.018460885706213,
1000000,2000000,2.2318361882863993,2.0874871824906465,0.5363095343369273,1.07673601785373,
1000000,2000000,2.091485407492249,2.0690116548214235,0.5164212522684861,1.0313776481598058,
1000000,2000000,1.9125804645815172,1.9034028709085178,0.47580468486276056,0.9597170262064689,
1000000,2000000,1.760043313936739,1.8097741517671857,0.5175103187778841,1.0193239162404188,
1000000,2000000,2.1454770856191465,2.026324333607068,0.5128887104325691,1.0181343685774538,
1000000,2000000,2.1160145163825916,2.078583158059941,0.5083265627292153,0.9887943963689996,
1000000,2000000,2.1230755624561177,1.932664153000051,0.5087052859752661,0.9953852427879077,
1000000,2000000,2.1950583580971554,2.1166372189171043,0.5216736413000425,1.0335688695284218,
1000000,2000000,2.122181190471997,2.057894114581976,0.5053682622057862,1.0039881273061815,
1000000,2000000,2.1322294771868906,2.0474004029234583,0.5062343683557752,1.0049909807999489,
1000000,2000000,2.139611667544819,2.10631837144707,0.5116148362734959,1.0241278022105407,
