NC/MT ratio, SS/PS ratio
0.3534393410244116,15.411726099145291,
0.05278791564770657,0.7936701750958509,
0.08385766069617023,0.4712809580033552,
0.16755238720880913,1.0010003496031485,
0.05116352559011973,1.0687258100137944,
0.0589779476273621,0.6800666722851176,
0.0771989185599907,1.0508521839467295,
0.32688853492391634,18.122779772058013,
0.0643325799160478,0.34993773349937735,
0.34777872490380585,0.5423528018007345,
0.386486277037031,0.64318207851287,
0.4645477859970055,0.2798908997790601,
0.03409722860457948,0.29447043548154406,
0.17416828202821394,0.19509391281775537,
0.04475274845907061,0.4379155183081163,
0.05503891738132486,0.25601508446051235,
0.05035220199150115,0.4765582859271864,
0.36482075062120695,0.25933117856532933,
0.056035008710716816,0.4591218409599154,
0.09277140818047845,0.27551069976368797,
0.02753967411893405,0.5747945305444827,
0.1310011186352916,0.42367881906211,
0.2717805051997632,0.384816735255729,
0.14169480034720522,0.5136963067722222,
0.21690147574537333,0.8519616339788361,
0.14593643095165823,0.37298950913894596,
0.4461523292325895,0.3276814770055111,
0.3166122112680058,0.5256222099920503,
0.10772392160791582,0.5697721117507131,
0.09977436760225963,0.675332541567696,
0.041505666840051095,0.4060952940650412,
0.09378006935814338,0.07193112198890807,
0.5587552554717696,0.37969827128026046,
0.11207591380009432,0.5648295057889153,
0.30364326799575586,0.14752866089298397,
0.38423777554524335,0.43687262919437453,
0.07314617516284613,0.40358285627217516,
0.32915147380554705,0.3904129816435333,
0.0632460859530426,0.608858913071735,
0.5148147807449245,0.5945099588105851,
0.07516027966949643,0.6191425430560645,
0.36654559338467646,0.25997425050579365,
0.46956267039949046,0.5564292722340856,
0.39696571596901215,0.3824250573439848,
0.4990908092826657,0.8743745321303337,
0.04734343961405725,0.8228588798540922,
0.4852632537980718,0.8597422719371174,
0.17626313959248116,0.7060845981042134,
0.2819247847568221,1.2288773988651989,
0.573916563035266,0.4127094561489466,
0.055044739240847754,0.4519505017731834,
0.38406853129763135,1.0180218505269265,
0.056890568203154836,0.17240812149344834,
0.3772416025801565,0.5496839954081568,
0.060152976232577336,0.7409772066448426,
0.29190020290103996,0.3164705993161975,
0.4904264383564091,1.0539602151099046,
0.05701532289954661,0.45645102051524217,
0.14099128453328577,0.6916458664246274,
0.15039652485442742,0.23056880352432066,
0.0725600463187326,0.4364333366523947,
0.32453275788066216,0.8228969231041752,
0.40090479541570323,0.31955708674611577,
0.07873108624907955,0.10226990644469494,
0.04014971060547383,1.0589594653675598,
0.12497450856955392,0.7279538197003194,
0.008545691470905753,1.0024766136907204,
0.15026608942658157,0.6824509551957508,
0.2592242270089818,0.488594344044581,
0.2404461201292671,0.6897769417777225,
0.016573632165058274,0.6986296682804989,
0.03740722031282444,0.6272825100043716,
0.07613152855640917,0.8524824000368104,
0.030800715420432466,0.8621602458047742,
0.29956345299305587,0.635476526076114,
0.02495515218998649,0.7807010756016405,
0.11617906373030758,0.7351771709760331,
0.35742923095614143,0.8825342206760947,
0.04332512833143293,0.8868461527404448,
0.029392675883448238,0.5871478440434633,
0.18375099881086454,0.5651889936527608,
0.20665546254431005,1.6217062089853609,
0.3037505359042624,0.5481087997518466,
0.20283092569707817,0.5278740875912409,
0.042548666109059434,0.8932692907491735,
0.03641019009287689,1.1735347289100646,
0.22313032502366678,0.8524547262640009,
0.05350296792113822,0.6187365958276467,
0.045289824129335944,0.6351507392624947,
0.1902720662885974,0.8735003307765202,
0.3449283767623525,0.6099037506683981,
0.021582186251272752,0.8862966374942423,
0.19483345918835054,0.5725666174557467,
0.016925324853235633,0.6805486319807438,
0.20383716276735633,0.6318427210583532,
0.3096512352784453,0.5926635497592013,
0.021156224412469664,0.5227545089579962,
0.020155640378093875,1.2379598145285935,
0.24498731230162385,0.6105302173149701,
0.02857903095114542,0.6581746874744668,
