START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
1000,2000,0.21727268772566544,0.04149307172989271,0.250262166118474,0.16551234407176843,
1000,2000,0.22071035859418411,0.051581957959561546,0.37442660248476645,0.19209724965482208,
1000,2000,0.17069685151896669,0.060717376509238176,0.32889281309308704,0.16346658462874825,
1000,2000,0.21039024560667993,0.07417359931434789,0.4251273664270334,0.22073094369015073,
10000,20000,0.7668280606477664,0.1316199399967486,0.6678955941599446,0.5664733854573488,
10000,20000,1.1813713386296703,0.25383102449173656,0.8059985562403179,0.48461556365492114,
10000,20000,1.8594112555252393,0.24570553894904493,0.831074158169476,0.7990892413361942,
10000,20000,1.207935607149794,0.18852505657148838,0.8273542500914142,1.078820340520462,
10000,20000,1.194238319716395,0.2848802816438926,0.8528762994258215,0.9365885133373305,
100000,200000,2.2585601359576453,0.5132851557864735,0.9269960467176778,2.006472467035506,
100000,200000,3.4159481648014856,0.43420429644949654,0.9774965392531569,1.6450616598059693,
100000,200000,3.1390180567077977,0.6127443749428,0.958686745814376,2.2466928089942835,
100000,200000,3.512025429829069,0.6442509851629675,0.9918851049874152,2.7118282403950555,
100000,200000,3.2140725942050157,0.6201346696506373,0.9513108125486701,2.2178435986416773,
1000000,2000000,3.517761986520424,1.312032542054648,0.9820165019273606,3.079629015796247,
1000000,2000000,3.588292518681269,1.587881331111205,0.9880584545880126,3.078592823091898,
1000000,2000000,3.6164625492795484,1.4088122176858153,0.9803263767469401,3.176592339779769,
1000000,2000000,3.5828877059581146,0.7492039945093356,0.9780205697059584,3.170586645138455,
1000000,2000000,3.6332006057381605,1.66477450406919,0.9830585015935532,3.2333717901520873,
10000000,20000000,3.723301464365892,1.8668708299732508,0.9890561975766351,3.1725499627979863,
10000000,20000000,3.7167381126933816,2.2778553817500726,0.9943167088178401,3.129259425302097,
10000000,20000000,3.6457277154647825,2.40308630091509,0.9947683970553673,2.9112618453028545,
10000000,20000000,3.365285863468649,2.3752256150726656,0.9911454060697305,3.0629206333616255,
10000000,20000000,3.7259051147360642,2.3051607549974737,0.9861254719208317,3.0257112261715053,
4000000,16000000,3.3620558826581264,1.0462432339435517,0.9938580441282687,2.0348236634302186,
4000000,16000000,3.382761937115235,1.334551493199914,0.9883842001537864,3.118080473614826,
4000000,16000000,3.412241353618284,1.7355297244225307,0.9587526817634262,3.0650045486026944,
4000000,16000000,3.243706726248818,1.8711744759078908,0.9525846217766679,3.028928072691399,
4000000,16000000,3.469829833963612,2.4707166333868007,0.946710912432316,3.0694807052091564,
800000000,801000000,3.362653602245928,3.2670703762299698,0.9915732193491479,3.2466809928019185,
800000000,801000000,3.6238602477062902,3.4528372628315718,0.9937571941852807,3.257731373661815,
800000000,801000000,3.6435222365115294,3.643523353060916,1.024524142101328,3.297184018462182,
800000000,801000000,3.6871237383178657,3.750505076657907,1.0277221125096725,3.277188691602516,
800000000,801000000,3.7167447759017147,3.797233947739861,1.0303732621377177,3.354370366429606,
1000000,1300000,4.4519153311413495,1.2783102124097923,1.0063798021763442,1.3220460761431971,
1000000,1300000,3.8569276620018083,1.2602322029102395,0.9705790238121429,3.5239193257332633,
1000000,1300000,3.7929500788837966,1.1590140211495303,0.9503719275348123,3.2585940834492426,
1000000,1300000,3.770619274138422,1.2238759621221649,0.9181477001635349,3.3558766738397603,
1000000,1300000,3.7942719869545214,1.3828229033709996,0.9597460736373045,3.448348136592176,
