NC/RMT ratio, NC/TP ratio, SS/PS ratio
124223.943359375,0.9119455978942852,2.659698520155918,
1667594.8293515358,1.6340728892434566,3.192321830412823,
1624734.8532423207,1.4389891208936545,3.4578723433379266,
1616851.447098976,1.4150252890149455,3.4583786376700516,
1622849.5034246575,1.5290066668815598,3.4541164310129906,
810325.770940171,1.6212328744190347,3.295832383825901,
142354.93136997108,1.0431449224584202,2.6512982125183764,
1649476.4709897612,1.711909567524188,3.313889496493769,
1608981.4965753425,1.5159606262073417,3.4797601680862544,
139520.5508808835,0.9670326327474301,2.653551499689533,
Infinity,1.631602915154074,3.2562001957682907,
Infinity,1.5464391308637067,3.4280561117723853,
1601592.8839590445,1.4886146054902594,3.3931824300725824,
533333.7175398633,1.4628878821177054,3.433947817879217,
