START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
1000,2000,1.822415531629312,0.17478380327619206,0.021748568755773034,0.18608570031074817,
1000,2000,0.161616838894586,0.024289526076726523,0.2530465462869188,0.11919081836366052,
1000,2000,0.048011790927877114,0.04524043999065121,0.32585043613832776,0.09059520217330583,
1000,2000,0.40366160098283843,0.06593592907062286,0.5824343190760249,0.15405756540480536,
1000,2000,0.2841832206976585,0.06703163996457612,0.5520810125507919,0.15901257127491183,
10000,20000,0.2349281276130403,0.100118397742316,0.7295291590467067,0.4482353937869809,
10000,20000,0.5703857424194508,0.15133751220144934,0.9846699450509798,0.634057303009025,
10000,20000,0.31948733162918663,0.24590822043534455,0.6251151280492167,0.47104994740029427,
10000,20000,1.1376883733997754,0.18908836778212626,0.8078393395298051,0.746968622067119,
10000,20000,0.9505811392225426,0.17749838180467772,0.822928317855993,0.8435910444732272,
100000,200000,1.771160604161419,0.38566146789473665,0.9469515052308616,1.0019475466940642,
100000,200000,1.4797500514477688,0.4282122025324461,0.9094427495214057,0.8984619121308896,
100000,200000,1.2835638686569082,0.40434267499695775,0.9752448543153048,1.580723771200927,
100000,200000,1.705189941305778,0.389480978849644,0.9722999091744825,1.6455286102969375,
100000,200000,1.976323106198434,0.459602292905399,0.9593321673251097,1.6200175163364738,
1000000,2000000,2.0893576220420162,0.7917440785627609,0.9637857582184307,1.7961016013308262,
1000000,2000000,1.9888067435645194,0.4824021057268462,0.8831676990413874,1.7553620289782732,
1000000,2000000,2.050816105109246,0.7413543316318847,0.9811500378683251,1.7851056417167743,
1000000,2000000,2.0816613626871456,0.9606099927005469,0.9598953471113845,1.7956167357314907,
1000000,2000000,1.8983970866186086,0.9016289521188229,0.9694526162209577,1.727401004589551,
10000000,20000000,1.984645581675214,0.8962065258624463,0.9778127709373409,1.6454633622340067,
10000000,20000000,1.904503517809013,0.8869759579829228,0.9596792341320936,1.844449904583176,
10000000,20000000,2.032640561561387,1.0503344801308512,0.9757894271880444,1.8788045443785226,
10000000,20000000,1.9779906412488901,0.9464756552444464,0.9755939934244933,1.7878098449770228,
10000000,20000000,2.1061305856920134,1.1275673370903092,0.9702190367654586,1.861740715953956,
800000000,801000000,2.1585869954416803,1.9007912886787974,1.0106282961213608,1.9869668652532035,
800000000,801000000,2.026315653799184,1.9357296149415903,0.9337550456190059,1.8336235352396866,
800000000,801000000,2.100828806563799,2.007524163632013,0.985084759195914,1.9676742233397675,
