NC/RMT ratio, NC/TP ratio, SS/PS ratio
0.004571213192885354,0.2609247065099527,0.6983272647701371,
0.004000755488146172,0.3791706478856345,1.966060254832992,
0.0038569195939224914,0.4451666291807617,1.9469260024133346,
0.003911995353322437,0.33546871578865073,0.9778507632449425,
0.004040723537394253,0.35247566040952755,1.5015670813364348,
0.004367125654323004,0.322650615203056,1.3386586450793172,
0.004101978156318975,0.3606505857855638,2.069758323027282,
0.0037211936431431765,0.3606686979762924,0.8675777967168691,
0.003388163032355396,0.37599620756417823,3.4922915461167685,
0.0036152357352905455,0.2428428536113345,1.567342785996306,
