START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
80000,90000,0.8797242515595166,0.07990907832173336,0.038381508665422455,0.09464526068193824,
80000,90000,0.5419400782776634,0.1778518704153124,0.06984728554514176,0.08668844915250067,
80000,90000,0.6500194627808877,0.27961189941519965,0.157984574191898,0.21985118785454377,
80000,90000,0.5140367819344567,0.11953757798292429,0.15062956719175627,0.18868044948825943,
80000,90000,1.5811389871950479,0.49729155545385767,0.1058269746810254,0.19757698380605565,
80000,90000,0.43838237012589104,0.2853687970691007,0.13276502580737018,0.19216565608483951,
80000,90000,1.5742426621895325,0.6749383476386247,0.13988541774415122,0.1710913730202248,
80000,90000,1.153354432320594,0.3839097582514378,0.08090471357593902,0.08667833518978171,
80000,90000,1.4583787097068563,0.6800060693860889,0.10229254190588544,0.14021173480409466,
80000,90000,1.0184546407371597,0.41230168184233457,0.13830617604903464,0.2702630660956957,
80000,900000,1.7731998314624198,0.6771161500402053,0.6316481166242172,0.996745374310151,
80000,900000,1.8650727723976188,0.5266835336106463,0.8182092734097283,1.6660180121405617,
80000,900000,1.8047821584973112,0.4658149703570452,0.8597978785756251,1.4852947098001859,
80000,900000,1.9550640260098249,0.5756484614837348,0.863220404660919,1.5972369990841777,
80000,900000,2.0617950114075727,0.605787226553924,0.8571514919263306,1.6657080551524124,
80000,900000,2.092426863650684,0.6193054869486266,0.8528184662022065,1.3188934990191734,
80000,900000,2.1080831951474748,0.6138190848602584,0.7471343863948217,1.628863948339686,
80000,900000,1.949823279700838,0.5821898059252828,0.854505667483282,1.478755386385789,
80000,900000,2.0932808391358675,0.5917591084587034,0.8631142293690259,1.5849447150353357,
80000,900000,2.0818286147300373,0.5228086287567273,0.862762356985656,1.6074248591038545,
8000000,9000000,2.931736927666037,1.7384138565261975,0.1296838661584021,0.15841225258296537,
8000000,9000000,2.1022512979109833,1.343043315054152,0.09601189555771061,0.15964475832015693,
8000000,9000000,2.1233108813124066,1.2645507944291525,0.09052467545464206,0.17499479614171992,
8000000,9000000,2.1198305311880077,1.4654204624123268,0.09018649582257432,0.17288103993509102,
8000000,9000000,2.1686080956094433,1.2073632660314748,0.09499745423533619,0.18184112356446774,
8000000,9000000,2.1260585987591982,1.6346626133734525,0.09252518681414593,0.17672396325744288,
8000000,9000000,2.13768458088528,1.6525668329263097,0.0925947806986438,0.17919436573301376,
8000000,9000000,2.1076524621593884,1.5004635976515066,0.08788898369706223,0.18045205463129244,
8000000,9000000,2.1779112215885275,1.691789574811651,0.09621455652441682,0.1888942226295657,
8000000,9000000,2.130788639688721,1.6078437183067582,0.0938533673748343,0.18179475975375706,
8000000,9000000,3.178831380003785,1.9481281441015366,0.14841886799804171,0.18715485609454094,
8000000,9000000,2.0168030134877073,1.2824196109170967,0.09186527785975508,0.14915932471284638,
8000000,9000000,2.0508993888732396,0.7779801655242793,0.09882393895854923,0.1745915706389868,
8000000,9000000,1.7887281012460885,1.5708051992672238,0.1016856227575551,0.19964867825338664,
8000000,9000000,3.071198796760111,1.7773225054375852,0.1317045124079582,0.19711803445630524,
8000000,9000000,2.203384819850432,1.4010305219937709,0.09840464419341743,0.166767456984792,
8000000,9000000,2.140392113877692,0.9272066158704175,0.09300745303420058,0.17247524685886417,
8000000,9000000,2.1296655509042965,1.6261691134751324,0.09298213480088897,0.17707102323518087,
8000000,9000000,2.282148194343195,1.7689993275841775,0.09954450640115525,0.19228505380758504,
8000000,9000000,1.9824319040868494,1.521082783153831,0.09209671872339681,0.17579099042236837,
8000000,9000000,2.120613083831743,1.4607206141189757,0.09237055951128491,0.1826030959215866,
8000000,9000000,2.2378699173740992,1.7075908785136116,0.09736110466513721,0.1895549904788024,
8000000,9000000,2.0450940722240176,1.6472259607390498,0.09252103826524363,0.17381970723170698,
8000000,9000000,2.1168635708979044,1.650728685653423,0.0888013254709207,0.1707357742540393,
800000000,801000000,2.7341272254331046,2.4020090633335354,1.2570351591111233,2.539030756289031,
800000000,801000000,2.6849310708771865,2.5097477898733787,1.2386110767219896,2.4443052384113435,
800000000,801000000,1.741110216127934,1.8972807351466454,1.0293959671689517,2.0342078211373376,
800000000,801000000,2.5471049833104256,2.4937187931227456,1.1772178654323766,1.7927843911373498,
